"# Contains 1000 ellipticals, spirals cw, spirals acw, stars, 296 mergers",,,,,,,
objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648673458553624,26,0.922999978,0,0.037999999,0.037999999,0,0
1237648673458684391,28,0.92900002,0,0,0.035999998,0.035999998,0
1237648673458815588,35,0.828999996,0,0,0.028999999,0.057,0.086000003
1237648673458881038,58,0.861999989,0,0.017000001,0.103,0.017000001,0
1237648673458946577,23,0.825999975,0.043000001,0.043000001,0.086999997,0,0
1237648673459274300,67,0.939999998,0,0.015,0,0.029999999,0.015
1237648673459274392,51,0.824000001,0,0,0.059,0.118000001,0
1237648673459339331,33,0.970000029,0,0,0.029999999,0,0
1237648673992540714,31,0.935000002,0,0,0.064999998,0,0
1237648673993392521,64,0.906000018,0,0,0.046999998,0,0.046999998
1237648673993392589,52,0.86500001,0,0.018999999,0.057999998,0.057999998,0
1237648673993589133,67,0.851000011,0.015,0,0.045000002,0.090000004,0
1237648673994637877,51,0.80400002,0.02,0,0.136999995,0.039000001,0
1237648673994702955,39,0.871999979,0,0,0.103,0.026000001,0
1237648673994703423,27,0.851999998,0.074000001,0,0.037,0.037,0
1237648673994768659,67,0.925000012,0.015,0,0.029999999,0.029999999,0
1237648673994768746,32,0.875,0.030999999,0,0.030999999,0.061999999,0
1237648673994834323,36,0.944000006,0.028000001,0,0,0,0.028000001
1237648673995162093,32,0.843999982,0,0.030999999,0.125,0,0
1237648673995948107,30,0.933000028,0,0,0.067000002,0,0
1237648673996341293,49,0.878000021,0.02,0.061000001,0.02,0.02,0
1237648673996931887,40,0.824999988,0,0.075000003,0.075000003,0.025,0
1237648673996997073,30,0.833000004,0,0,0.067000002,0.067000002,0.033
1237648673997128266,30,0.933000028,0,0,0.033,0.033,0
1237648673997652749,28,0.92900002,0,0,0.071000002,0,0
1237648674529411619,48,0.811999977,0,0,0.041999999,0.145999998,0
1237648674530132240,57,0.894999981,0.035,0,0.035,0.035,0
1237648674530263512,34,0.882000029,0.028999999,0,0.059,0.028999999,0
1237648674531442986,26,0.846000016,0,0,0.077,0.077,0
1237648674531574300,36,0.944000006,0.028000001,0,0.028000001,0,0
1237648674531639329,56,0.911000013,0,0,0.035999998,0.054000001,0
1237648674531639378,52,0.903999984,0.037999999,0,0.037999999,0.018999999,0
1237648674531639615,31,0.902999997,0.032000002,0,0.064999998,0,0
1237648674531705019,35,0.971000016,0,0,0,0.028999999,0
1237648674531836030,24,0.875,0,0,0,0,0.125
1237648674531967559,27,0.814999998,0.037,0.037,0.074000001,0.037,0
1237648674531967610,37,0.838,0,0,0,0.081,0.081
1237648674532098501,32,0.906000018,0,0,0.030999999,0.061999999,0
1237648674532098608,34,1,0,0,0,0,0
1237648674532885305,25,0.800000012,0.079999998,0,0.039999999,0.079999998,0
1237648674532950654,25,0.800000012,0,0.039999999,0.079999998,0.079999998,0
1237648674533016287,64,0.906000018,0,0.046999998,0.030999999,0.016000001,0
1237648674533081773,30,0.833000004,0.033,0,0.033,0.067000002,0.033
1237648674533146986,59,0.83099997,0.034000002,0.017000001,0.068000004,0.050999999,0
1237648674533605820,32,0.843999982,0,0,0.061999999,0.030999999,0.061999999
1237648674533737231,23,0.870000005,0.043000001,0,0,0.043000001,0.043000001
1237648674534523043,26,0.846000016,0.037999999,0,0,0.115000002,0
1237648702966464724,28,0.893000007,0,0.035999998,0,0.071000002,0
1237648702966595730,32,0.843999982,0.030999999,0,0.061999999,0.061999999,0
1237648702967513230,29,0.828000009,0.034000002,0,0,0.137999997,0
1237648702967579126,63,0.873000026,0,0,0.016000001,0.094999999,0.016000001
1237648702968365275,53,0.829999983,0,0,0.037999999,0.131999999,0
1237648702968889567,60,0.833000004,0.017000001,0,0.033,0.100000001,0.017000001
1237648702969413789,30,0.933000028,0,0,0,0.067000002,0
1237648702970593667,30,0.800000012,0,0.033,0.033,0.133000001,0
1237648702971052358,54,0.814999998,0.018999999,0,0.056000002,0.111000001,0
1237648702971773476,34,0.852999985,0,0,0.028999999,0.118000001,0
1237648702973280497,29,0.930999994,0,0.034000002,0,0.034000002,0
1237648702973673697,35,0.943000019,0,0.028999999,0.028999999,0,0
1237648702973935730,24,0.916999996,0,0,0.041999999,0.041999999,0
1237648702974918878,31,0.870999992,0,0,0.032000002,0.097000003,0
1237648702975180845,26,0.808000028,0,0.037999999,0.037999999,0.115000002,0
1237648702975639836,32,0.875,0,0.093999997,0,0.030999999,0
1237648702978064692,46,0.80400002,0,0.022,0.043000001,0.129999995,0
1237648703503401411,27,0.888999999,0,0,0,0.111000001,0
1237648703504580879,56,0.82099998,0,0,0,0.179000005,0
1237648703504581205,32,0.843999982,0.030999999,0,0.061999999,0.061999999,0
1237648703505170596,55,0.890999973,0,0,0.072999999,0.017999999,0.017999999
1237648703505629420,50,0.839999974,0.02,0,0.039999999,0.059999999,0.039999999
1237648703507988759,49,0.856999993,0,0.041000001,0,0.101999998,0
1237648703507988784,30,0.800000012,0,0,0.033,0.166999996,0
1237648703508119708,28,0.82099998,0,0.071000002,0.035999998,0.071000002,0
1237648703509037207,29,0.828000009,0.034000002,0.034000002,0.034000002,0.068999998,0
1237648703509102894,31,0.805999994,0.032000002,0,0,0.160999998,0
1237648703510478995,28,0.893000007,0,0.035999998,0,0.035999998,0.035999998
1237648703511134446,36,0.888999999,0,0.028000001,0.082999997,0,0
1237648703511265510,58,0.810000002,0.017000001,0,0.155000001,0.017000001,0
1237648703512314160,56,0.838999987,0.017999999,0,0.035999998,0.107000001,0
1237648703513559316,35,0.800000012,0.028999999,0,0,0.171000004,0
1237648703516639598,52,0.808000028,0,0,0.057999998,0.115000002,0.018999999
1237648703517425819,39,0.846000016,0,0.026000001,0.077,0.050999999,0
1237648702968955042,23,0.825999975,0.043000001,0,0,0.129999995,0
1237648702972756187,28,0.82099998,0,0,0.143000007,0.035999998,0
1237648702973477024,65,0.814999998,0,0,0.061999999,0.108000003,0.015
1237650371562111165,26,0.962000012,0,0,0.037999999,0,0
1237650371562111203,34,0.824000001,0.028999999,0,0.028999999,0.118000001,0
1237650371562111204,54,0.888999999,0,0,0.111000001,0,0
1237650371562176643,34,0.882000029,0,0.059,0.059,0,0
1237650371563290737,37,0.89200002,0,0,0,0.108000003,0
1237650371563290738,46,0.935000002,0,0,0.022,0.043000001,0
1237650372089741520,65,0.814999998,0,0.015,0.030999999,0.137999997,0
1237650372089741526,27,0.814999998,0,0.037,0.074000001,0.074000001,0
1237650372091969628,36,0.833000004,0,0.028000001,0.028000001,0.111000001,0
1237650372092166252,47,0.893999994,0,0,0.085000001,0.021,0
1237650372092297336,33,0.879000008,0,0,0,0.120999999,0
1237650372092297398,64,0.859000027,0.016000001,0,0.046999998,0.078000002,0
1237650372092756128,28,0.82099998,0,0.035999998,0.071000002,0.071000002,0
1237650372093673679,31,0.902999997,0,0,0.032000002,0.064999998,0
1237650372094197963,38,0.894999981,0,0.026000001,0.052999999,0.026000001,0
1237650372094394543,45,0.843999982,0,0.022,0.067000002,0.044,0.022
1237650372094853283,37,0.838,0,0,0,0.108000003,0.054000001
1237650372095049858,53,0.867999971,0,0,0.037999999,0.093999997,0
1237650372095049902,30,0.800000012,0.067000002,0,0.100000001,0.033,0
1237650372095901916,32,0.875,0,0.030999999,0.061999999,0.030999999,0
1237650372096098378,66,0.924000025,0,0,0.015,0.045000002,0.015
1237650372096163978,29,0.897000015,0,0,0.034000002,0.068999998,0
1237650372096360645,34,0.852999985,0.028999999,0.028999999,0.059,0.028999999,0
1237650372096426042,40,0.824999988,0,0.050000001,0.075000003,0.050000001,0
1237650372096426151,44,0.818000019,0,0,0.023,0.158999994,0
1237650372096426318,25,0.800000012,0,0.039999999,0.079999998,0.079999998,0
1237650372096885182,25,0.839999974,0,0.039999999,0.039999999,0.039999999,0.039999999
1237650372098719826,50,0.819999993,0,0.02,0.100000001,0.059999999,0
1237650372099113479,32,0.906000018,0,0,0,0.093999997,0
1237650372099965060,35,0.943000019,0,0.028999999,0,0.028999999,0
1237650760239218806,26,0.922999978,0,0,0,0,0.077
1237650760239415439,25,0.879999995,0.039999999,0,0.039999999,0.039999999,0
1237650760239546500,25,0.920000017,0,0,0,0.079999998,0
1237650760239808694,30,0.833000004,0,0.033,0.033,0.100000001,0
1237650760239874192,30,0.967000008,0,0,0.033,0,0
1237650760242036851,52,0.88499999,0,0.018999999,0.037999999,0.057999998,0
1237650760242430154,27,0.814999998,0,0.037,0.037,0.111000001,0
1237650760242626758,27,0.888999999,0,0,0.037,0.074000001,0
1237650760242692420,31,0.838999987,0,0,0.032000002,0.128999993,0
1237650760243675357,34,0.882000029,0,0,0.059,0.059,0
1237650760243937378,34,0.824000001,0.059,0,0.059,0.028999999,0.028999999
1237650760244527299,54,0.814999998,0,0.018999999,0.056000002,0.056000002,0.056000002
1237650760244658254,33,0.908999979,0,0.029999999,0,0.061000001,0
1237650760244658351,26,0.808000028,0.077,0,0.037999999,0.077,0
1237650760244986134,31,0.838999987,0,0,0.032000002,0.128999993,0
1237650760245051579,23,1,0,0,0,0,0
1237650760245314219,29,0.897000015,0,0,0,0.103,0
1237650760245706989,27,0.814999998,0.037,0,0.037,0.037,0.074000001
1237650760246362324,27,0.925999999,0,0.037,0,0,0.037
1237650760246624391,29,0.897000015,0,0.034000002,0,0.068999998,0
1237650760247345364,61,0.869000018,0.048999999,0.016000001,0.033,0.033,0
1237650760248787401,52,0.903999984,0,0,0.077,0.018999999,0
1237650760248983669,34,0.824000001,0,0.088,0.088,0,0
1237650760249114693,41,0.853999972,0,0.048999999,0.048999999,0.048999999,0
1237650760249770164,68,0.882000029,0.028999999,0,0.059,0.028999999,0
1237650760249770196,63,0.904999971,0.016000001,0,0.016000001,0.063000001,0
1237650760249770205,27,0.925999999,0,0,0.074000001,0,0
1237650760250228866,65,0.861999989,0,0,0.015,0.123000003,0
1237650760250359900,20,0.850000024,0,0,0.050000001,0.100000001,0
1237650760776679715,26,0.846000016,0,0,0.077,0.077,0
1237650760776745164,29,0.861999989,0,0,0,0.137999997,0
1237650760776876357,26,0.808000028,0,0,0.037999999,0.153999999,0
1237650760778383458,26,0.922999978,0,0.037999999,0,0.037999999,0
1237650760778645771,30,0.933000028,0,0,0.067000002,0,0
1237650760778776762,57,0.806999981,0.017999999,0,0.088,0.07,0.017999999
1237650760779300941,37,0.838,0,0,0,0.135000005,0.027000001
1237650760780022385,31,0.805999994,0,0,0,0.194000006,0
1237650760780152985,31,0.805999994,0,0.032000002,0,0.160999998,0
1237650760780611778,47,0.809000015,0,0.085000001,0.064000003,0.043000001,0
1237650760781267199,49,0.878000021,0.041000001,0,0,0.02,0.061000001
1237650760781791472,33,0.84799999,0,0.029999999,0,0.120999999,0
1237650760781791502,25,0.920000017,0,0,0.039999999,0.039999999,0
1237650760781791532,32,0.938000023,0.030999999,0,0,0,0.030999999
1237650760782119061,37,0.91900003,0.027000001,0,0.054000001,0,0
1237650760782315772,37,0.86500001,0.027000001,0,0.081,0.027000001,0
1237650760782512388,35,0.885999978,0,0,0.086000003,0.028999999,0
1237650760783954070,58,0.810000002,0,0.052000001,0.086000003,0.052000001,0
1237650760785526956,35,0.885999978,0,0,0.028999999,0.086000003,0
1237653623371858561,51,0.824000001,0.039000001,0,0.097999997,0.039000001,0
1237653623371989824,31,0.805999994,0,0,0.064999998,0.128999993,0
1237653623372382674,44,0.885999978,0,0,0.023,0.068000004,0.023
1237653665785839940,29,0.828000009,0,0,0.034000002,0.103,0.034000002
1237653665786167828,23,0.912999988,0.043000001,0,0.043000001,0,0
1237653665788002698,35,0.800000012,0,0.028999999,0.114,0.057,0
1237654400763560166,65,0.846000016,0.015,0,0.061999999,0.077,0
1237654400763691161,28,0.856999993,0,0,0.035999998,0.107000001,0
1237654400764149962,55,0.873000026,0,0.055,0,0.072999999,0
1237654400764412107,25,0.800000012,0,0,0.039999999,0.159999996,0
1237654400764739807,28,0.893000007,0,0,0.071000002,0.035999998,0
1237654400765132944,55,0.818000019,0.017999999,0,0.055,0.108999997,0
1237654400766050460,49,0.837000012,0.02,0.041000001,0,0.101999998,0
1237654400766050732,20,0.800000012,0,0,0,0.150000006,0.050000001
1237654400766640142,24,0.833000004,0.082999997,0,0.041999999,0.041999999,0
1237654400767099233,36,0.861000001,0.028000001,0,0,0.111000001,0
1237654599958724719,62,0.823000014,0,0.064999998,0.048,0.064999998,0
1237654599958921448,33,0.879000008,0.029999999,0,0.061000001,0.029999999,0
1237654600482357611,73,0.889999986,0,0,0.014,0.096000001,0
1237654600483209520,34,0.824000001,0,0,0,0.175999999,0
1237654600483536973,63,0.952000022,0,0,0.016000001,0.032000002,0
1237654600486814011,32,0.875,0,0,0.061999999,0.061999999,0
1237654600486944904,54,0.925999999,0,0.074000001,0,0,0
1237654600487207050,32,0.906000018,0,0.030999999,0,0.061999999,0
1237654600487534885,66,0.879000008,0.015,0.015,0.029999999,0.061000001,0
1237654600487600166,49,0.815999985,0,0,0.041000001,0.101999998,0.041000001
1237654600487731456,28,0.893000007,0.035999998,0.035999998,0,0.035999998,0
1237654600488059260,42,0.810000002,0,0,0,0.189999998,0
1237654600488910985,30,0.833000004,0.033,0,0.100000001,0.033,0
1237654600489173206,42,0.856999993,0,0,0.024,0.119000003,0
1237654600489500823,32,0.938000023,0,0.030999999,0.030999999,0,0
1237654600489763130,25,0.920000017,0,0,0.039999999,0.039999999,0
1237654600490746064,29,0.828000009,0,0,0,0.172000006,0
1237654600492318826,29,0.930999994,0,0,0.034000002,0,0.034000002
1237654600492712202,35,0.885999978,0,0,0,0.086000003,0.028999999
1237654600492712209,33,0.879000008,0.029999999,0,0.029999999,0.061000001,0
1237654600492777575,27,0.888999999,0,0.037,0.037,0.037,0
1237654600494022888,50,0.819999993,0.02,0,0,0.140000001,0.02
1237654600495726766,54,0.833000004,0.037,0,0.037,0.093000002,0
1237654600495792316,28,0.82099998,0,0,0.035999998,0.143000007,0
1237654600496906527,27,0.814999998,0.037,0,0.074000001,0.074000001,0
1237654601014247888,34,0.882000029,0.028999999,0,0.059,0.028999999,0
1237654601014378651,55,0.855000019,0,0,0.035999998,0,0.108999997
1237654601014379031,28,0.92900002,0,0,0.035999998,0.035999998,0
1237654601014509728,28,0.856999993,0,0,0.035999998,0,0.107000001
1237654601014575392,60,0.933000028,0,0.017000001,0.017000001,0.017000001,0.017000001
1237654601014575395,25,0.839999974,0,0,0,0.119999997,0.039999999
1237654601014575429,28,0.82099998,0,0.035999998,0.035999998,0.071000002,0.035999998
1237654601014575686,36,0.805999994,0,0.028000001,0,0.166999996,0
1237654601014575717,30,0.899999976,0,0.033,0,0.067000002,0
1237654601014575769,30,0.967000008,0,0.033,0,0,0
1237654601014641151,54,0.963,0,0,0.018999999,0.018999999,0
1237654601014772244,34,1,0,0,0,0,0
1237654601014837767,32,0.875,0,0.030999999,0,0.093999997,0
1237654601014903258,34,0.852999985,0,0,0.088,0.028999999,0.028999999
1237654601015165465,39,0.871999979,0,0.026000001,0.050999999,0.050999999,0
1237654601015951513,48,0.811999977,0.021,0.021,0.061999999,0.082999997,0
1237654601016082936,30,0.833000004,0,0,0.133000001,0.033,0
1237654601016083019,29,0.966000021,0,0,0,0.034000002,0
1237654601016213953,46,0.957000017,0,0,0.022,0.022,0
1237654601016279210,45,0.977999985,0,0,0.022,0,0
1237654601016279650,53,0.925000012,0,0,0.018999999,0.057,0
1237654601016410483,61,0.917999983,0,0,0.033,0.048999999,0
1237654601016410588,43,0.81400001,0,0,0.046999998,0.115999997,0.023
1237654601016607174,29,0.930999994,0,0,0.068999998,0,0
1237654601016869308,32,0.843999982,0.061999999,0,0.093999997,0,0
1237654601017065927,24,0.833000004,0,0.041999999,0.082999997,0.041999999,0
1237654601017131338,26,0.922999978,0,0.037999999,0.037999999,0,0
1237654601017131384,35,0.856999993,0,0.028999999,0.028999999,0.086000003,0
1237654601017459075,48,0.875,0,0,0.061999999,0.061999999,0
1237654601018835245,25,0.959999979,0,0,0,0.039999999,0
1237654601019228519,45,0.888999999,0.022,0.022,0.022,0.044,0
1237654601019883772,35,0.856999993,0,0,0.057,0.057,0.028999999
1237654601021063421,40,0.899999976,0,0,0.050000001,0.050000001,0
1237654601022308704,39,0.846000016,0,0,0,0.128000006,0.026000001
1237654601024471337,34,0.882000029,0,0,0.059,0.059,0
1237654601025716400,33,0.818000019,0,0,0.029999999,0.120999999,0.029999999
1237654601025716475,62,0.805999994,0.016000001,0,0.048,0.128999993,0
1237654601027420368,60,0.800000012,0.017000001,0,0.050000001,0.133000001,0
1237654601027485910,27,0.888999999,0,0,0.074000001,0.037,0
1237654601027485911,31,0.902999997,0,0,0,0.097000003,0
1237652600633557514,29,0.897000015,0,0,0.068999998,0,0.034000002
1237652934574866793,39,0.922999978,0,0,0.026000001,0.050999999,0
1237652935103939775,22,0.864000022,0,0,0.090999998,0.045000002,0
1237652935105054009,26,0.88499999,0,0.037999999,0,0.077,0
1237652935105904711,28,0.856999993,0,0,0.071000002,0.071000002,0
1237652935105904714,61,0.836000025,0,0,0.066,0.097999997,0
1237652935106036377,38,0.894999981,0,0,0.079000004,0.026000001,0
1237652935108722698,52,0.962000012,0,0.018999999,0,0,0.018999999
1237652935108722699,32,0.875,0.030999999,0,0,0,0.093999997
1237652935110099392,30,0.967000008,0,0,0,0.033,0
1237652935110885796,35,0.913999975,0.057,0,0,0.028999999,0
1237652935110951382,37,0.94599998,0,0,0.027000001,0.027000001,0
1237652935111213494,35,0.885999978,0,0,0.057,0.057,0
1237652935111672215,52,0.808000028,0,0.018999999,0.057999998,0.096000001,0.018999999
1237652935640744277,27,0.888999999,0,0,0.074000001,0.037,0
1237652935640941526,33,0.908999979,0,0.029999999,0,0.061000001,0
1237652935642055582,31,0.838999987,0.032000002,0,0,0.128999993,0
1237652935642448680,36,0.944000006,0,0,0.028000001,0.028000001,0
1237652935643103920,31,0.967999995,0,0,0,0.032000002,0
1237652935644086820,34,0.852999985,0,0,0.028999999,0.118000001,0
1237652935644283384,35,0.800000012,0,0.028999999,0,0.028999999,0.143000007
1237652935644414518,24,0.875,0,0,0.041999999,0.082999997,0
1237652935644938490,32,0.875,0.030999999,0,0.093999997,0,0
1237652935645004775,31,0.805999994,0.032000002,0,0.032000002,0.128999993,0
1237652935645856525,52,0.808000028,0,0.018999999,0.037999999,0.135000005,0
1237652935647756308,34,0.912,0,0,0,0.028999999,0.059
1237652935648608647,37,0.89200002,0,0,0.054000001,0.054000001,0
1237652936181088771,27,0.963,0,0,0,0,0.037
1237652936181416256,37,0.91900003,0,0,0.054000001,0.027000001,0
1237652936182727099,26,0.88499999,0,0,0.077,0.037999999,0
1237652936183513501,26,0.88499999,0,0,0.037999999,0.077,0
1237652936184234018,52,0.922999978,0,0,0,0.057999998,0.018999999
1237652936184234022,41,0.828999996,0,0.024,0.048999999,0.072999999,0.024
1237652936184758594,51,0.882000029,0,0,0.039000001,0.078000002,0
1237652936184758653,55,0.800000012,0,0,0.108999997,0.072999999,0.017999999
1237652937792291012,36,0.944000006,0,0,0.028000001,0,0.028000001
1237652938329228277,26,0.808000028,0.077,0,0.077,0.037999999,0
1237652938329228329,49,0.815999985,0,0.02,0.082000002,0.082000002,0
1237652938865837170,31,0.805999994,0,0,0,0.160999998,0.032000002
1237652942082933652,20,0.800000012,0,0,0.050000001,0.050000001,0.100000001
1237652942083195131,37,0.81099999,0,0,0.054000001,0.135000005,0
1237652942083589581,26,0.846000016,0,0,0,0.153999999,0
1237652942083981512,29,0.897000015,0.034000002,0,0,0.068999998,0
1237652942086013038,28,0.82099998,0,0,0.179000005,0,0
1237652942087979382,37,0.81099999,0,0,0.108000003,0.081,0
1237652942091976998,54,0.851999998,0.018999999,0,0.018999999,0.111000001,0
1237652942093877719,47,0.851000011,0,0,0.085000001,0.064000003,0
1237652942094794857,34,0.940999985,0,0,0,0.059,0
1237652942095778241,39,0.82099998,0.050999999,0,0.026000001,0.103,0
1237652942097547540,38,0.867999971,0,0,0,0.131999999,0
1237652942098006264,30,0.933000028,0,0,0.033,0.033,0
1237652942098202865,33,0.818000019,0,0,0.061000001,0.120999999,0
1237652942098399444,17,0.824000001,0,0,0.175999999,0,0
1237652942098596078,20,0.949999988,0,0,0.050000001,0,0
1237652942099644811,30,0.833000004,0,0.033,0,0.133000001,0
1237652942100693156,70,0.885999978,0,0.014,0.043000001,0.043000001,0.014
1237652942101282957,37,0.86500001,0,0.027000001,0.054000001,0.054000001,0
1237652942101414091,32,0.843999982,0.030999999,0,0.061999999,0.061999999,0
1237652942101414112,59,0.898000002,0.017000001,0,0.017000001,0.034000002,0.034000002
