"# Includes 5000 ellipticals, 3565 spirals (1822 acw, 1743 cw), 1000 stars, 296 mergers",,,,,,,
objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648722819547442,40,0.824999988,0.025,0.025,0,0.125,0
1237648722819875127,38,0.894999981,0.026000001,0.026000001,0.052999999,0,0
1237648722820203200,29,0.828000009,0,0,0.068999998,0.103,0
1237648722820858058,27,0.851999998,0,0,0,0.111000001,0.037
1237651753453945514,39,0.846000016,0,0.026000001,0,0.128000006,0
1237651753457156328,39,0.973999977,0,0,0,0.026000001,0
1237651753458139387,36,0.916999996,0,0,0.028000001,0.056000002,0
1237651753458991409,44,0.931999981,0,0,0.023,0.045000002,0
1237651753459122757,21,0.810000002,0,0,0,0.189999998,0
1237651753459516089,31,0.805999994,0,0.032000002,0.032000002,0.128999993,0
1237651753459908703,32,0.843999982,0,0,0,0.156000003,0
1237651753460302053,54,0.851999998,0.018999999,0,0,0.129999995,0
1237651753460433127,53,0.81099999,0.018999999,0.018999999,0.057,0.093999997,0
1237651753461416140,27,0.963,0.037,0,0,0,0
1237651753462399631,25,0.800000012,0.039999999,0,0,0.159999996,0
1237651753462792366,35,0.885999978,0,0.028999999,0.028999999,0.028999999,0.028999999
1237651753464431079,20,0.899999976,0,0,0,0.100000001,0
1237651753464955127,22,0.818000019,0,0.045000002,0,0.136000007,0
1237651753465479383,38,0.867999971,0,0.026000001,0.026000001,0.052999999,0.026000001
1237651753467576477,38,0.947000027,0,0.026000001,0.026000001,0,0
1237651753467642040,38,0.921000004,0,0.026000001,0.026000001,0.026000001,0
1237651753467838542,59,0.83099997,0,0.017000001,0.050999999,0.017000001,0.085000001
1237651753467838588,60,0.800000012,0.017000001,0,0.067000002,0.116999999,0
1237651753468166283,54,1,0,0,0,0,0
1237651753469280813,33,0.879000008,0,0,0.029999999,0.090999998,0
1237651753469739166,26,0.922999978,0.037999999,0,0,0.037999999,0
1237651753469935791,59,0.847000003,0,0,0.152999997,0,0
1237651753470066797,32,0.906000018,0,0.093999997,0,0,0
1237651753470525554,42,0.880999982,0,0,0.094999999,0.024,0
1237651753470525612,26,0.846000016,0.037999999,0,0.037999999,0,0.077
1237651753470525633,31,0.805999994,0,0,0.097000003,0.097000003,0
1237651753470722237,20,0.850000024,0,0,0.050000001,0.100000001,0
1237651753473015848,57,0.894999981,0,0,0.07,0.017999999,0.017999999
1237651753473082008,74,0.824000001,0.014,0,0.081,0.081,0
1237651753473736791,32,0.843999982,0,0.030999999,0.061999999,0.061999999,0
1237651753474457748,53,0.81099999,0,0.018999999,0,0.131999999,0.037999999
1237651753474851102,57,0.842000008,0,0.017999999,0.052999999,0.088,0
1237651753475506416,31,0.805999994,0.064999998,0.032000002,0,0.097000003,0
1237651753475899898,26,0.808000028,0,0,0,0.192000002,0
1237651753476161664,28,0.893000007,0.035999998,0.035999998,0,0.035999998,0
1237651753476161735,31,0.902999997,0.032000002,0,0.032000002,0.032000002,0
1237651753479438356,48,0.875,0,0.041999999,0.041999999,0.041999999,0
1237651753479504083,21,0.810000002,0,0.048,0.143000007,0,0
1237651753480224788,49,0.917999983,0,0,0.041000001,0.041000001,0
1237651753480486926,56,0.875,0.017999999,0.017999999,0.054000001,0.017999999,0.017999999
1237651753480880773,55,0.818000019,0.017999999,0,0,0.164000005,0
1237651753482059978,67,0.82099998,0,0.015,0,0.119000003,0.045000002
1237651753482059981,38,0.815999985,0,0,0.052999999,0.131999999,0
1237651753482322145,32,0.811999977,0.061999999,0.030999999,0.030999999,0.030999999,0.030999999
1237651753482387888,28,0.82099998,0.035999998,0,0.035999998,0.107000001,0
1237651753486188874,28,0.893000007,0,0,0,0.107000001,0
1237651753486319903,30,0.833000004,0,0.067000002,0.033,0.067000002,0
1237651753487368375,31,0.870999992,0,0,0.097000003,0,0.032000002
1237651753488220458,22,0.908999979,0,0,0,0.090999998,0
1237651753488744652,57,0.860000014,0,0.035,0.052999999,0.052999999,0
1237651753489400069,61,0.836000025,0,0.016000001,0.048999999,0.097999997,0
1237651753489727840,55,0.818000019,0,0,0.035999998,0.144999996,0
1237651753489727884,29,0.828000009,0,0,0.068999998,0.103,0
1237651753490252489,23,0.870000005,0,0,0,0.129999995,0
1237651753490252617,23,0.825999975,0.043000001,0,0,0.129999995,0
1237651753490383200,65,0.83099997,0,0.015,0.015,0.123000003,0.015
1237651753989833115,38,0.921000004,0,0.026000001,0.026000001,0.026000001,0
1237651753990554326,26,0.88499999,0,0.037999999,0,0.077,0
1237651753991209236,60,0.816999972,0,0.017000001,0.017000001,0.150000006,0
1237651753994617045,40,0.850000024,0,0,0.025,0.125,0
1237651753995141322,50,0.860000014,0,0.02,0.100000001,0.02,0
1237651753995272550,47,0.809000015,0,0.021,0,0.170000002,0
1237651753996845243,51,0.824000001,0,0,0.039000001,0.136999995,0
1237651753997369903,52,0.827000022,0,0,0.037999999,0.135000005,0
1237651753998942405,60,0.866999984,0,0,0.067000002,0.067000002,0
1237651753999401211,28,0.856999993,0,0,0.035999998,0.071000002,0.035999998
1237651754000777421,29,0.828000009,0,0.068999998,0,0.103,0
1237651754001170647,28,0.82099998,0,0,0.035999998,0.143000007,0
1237651754002088010,32,0.968999982,0,0.030999999,0,0,0
1237651754002612424,34,0.912,0,0,0.088,0,0
1237651754003136610,30,0.899999976,0,0,0.033,0.067000002,0
1237651754003726514,55,0.800000012,0,0.017999999,0.072999999,0.108999997,0
1237651754004971616,52,0.88499999,0.037999999,0,0.037999999,0,0.037999999
1237651754005168373,27,0.963,0,0,0,0.037,0
1237651754005168442,46,0.935000002,0,0,0,0.043000001,0.022
1237651754005233749,29,0.861999989,0,0,0.068999998,0.034000002,0.034000002
1237655107846144143,32,0.811999977,0,0.061999999,0.061999999,0.061999999,0
1237655107846209649,31,0.935000002,0,0,0.032000002,0.032000002,0
1237655108382949463,28,0.893000007,0,0,0.107000001,0,0
1237655108382949545,44,0.864000022,0,0,0,0.136000007,0
1237655109456756876,34,0.912,0.028999999,0,0,0,0.059
1237655373039862434,30,0.800000012,0.067000002,0,0,0.133000001,0
1237655463242170625,47,0.829999983,0,0,0.043000001,0.128000006,0
1237655463244398781,28,0.82099998,0.071000002,0,0.071000002,0.035999998,0
1237655463244464296,33,0.84799999,0.029999999,0,0.029999999,0.090999998,0
1237658917460443220,34,0.882000029,0,0,0.028999999,0.088,0
1237658917460836862,22,0.908999979,0,0,0,0.090999998,0
1237658917998297165,30,0.933000028,0.033,0,0,0.033,0
1237658918534250655,29,0.828000009,0,0,0.034000002,0.068999998,0.068999998
1237658919071318181,24,0.875,0.041999999,0,0,0.082999997,0
1237658919071973516,34,0.852999985,0,0,0,0.147,0
1237659131676917899,26,0.808000028,0,0.037999999,0,0.153999999,0
1237659131676983602,33,0.818000019,0,0,0,0.181999996,0
1237659131679080933,37,0.838,0,0,0,0.162,0
1237659131679539428,38,0.894999981,0,0,0,0.052999999,0.052999999
1237659131680129376,51,0.842999995,0,0,0.02,0.136999995,0
1237659131681243307,30,0.866999984,0,0,0.067000002,0.067000002,0
1237659132205924805,31,0.838999987,0.032000002,0,0,0.128999993,0
1237659132206383354,29,0.828000009,0.068999998,0.034000002,0.034000002,0.034000002,0
1237659132206841953,25,0.920000017,0,0,0.039999999,0,0.039999999
1237659132207694049,27,0.851999998,0.037,0,0.074000001,0.037,0
1237659132208218287,30,0.800000012,0,0.033,0.067000002,0.100000001,0
1237659132208349371,63,0.873000026,0.016000001,0,0.016000001,0.094999999,0
1237659132208349434,27,0.851999998,0,0,0.037,0.111000001,0
1237659132209660102,55,0.818000019,0.017999999,0,0.035999998,0.090999998,0.035999998
1237659132209922371,53,0.81099999,0,0.018999999,0.075000003,0.093999997,0
1237659132209987733,27,0.851999998,0,0,0.074000001,0.074000001,0
1237659132209987774,57,0.842000008,0,0,0.035,0.123000003,0
1237659132210315492,68,0.867999971,0.015,0.028999999,0.015,0.074000001,0
1237659132210643108,33,0.84799999,0,0,0.061000001,0.061000001,0.029999999
