#Table1
objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648704592871460,29,0.034000001847744,0,0,0.0689999982714653,0.897000014781952,0
1237648722289033406,30,0.0329999998211861,0,0,0.0670000016689301,0.899999976158142,0
1237648722844123303,53,0,0,0,0.0189999993890524,0.981000006198883,0
1237651735242604821,35,0.0860000029206276,0,0,0.028999999165535,0.85699999332428,0.028999999165535
1237654954817945789,32,0.0939999967813492,0,0,0,0.906000018119812,0
1237662701329514592,24,0.0829999968409538,0,0,0.0829999968409538,0.833000004291534,0
1237662701874446378,31,0.0649999976158142,0,0.0649999976158142,0.0320000015199184,0.83899998664856,0
1237662701875429957,34,0.028999999165535,0,0,0,0.971000015735626,0
1237663530263379996,18,0.0560000017285347,0,0,0.0560000017285347,0.888999998569489,0
1237663546367148094,69,0,0,0,0,1,0
1237663546367148095,24,0,0,0,0,1,0
1237663546367213663,42,0,0,0,0,1,0
1237663547430797371,52,0,0,0,0.0189999993890524,0.981000006198883,0
1237663548514959430,62,0,0,0,0.0160000007599592,0.984000027179718,0
1237663787428544540,24,0,0,0,0,0.958000004291534,0.0419999994337559
1237663916811485340,38,0.0790000036358833,0,0,0,0.921000003814697,0
1237663917343375481,28,0.10700000077486,0,0.0359999984502792,0.0359999984502792,0.820999979972839,0
1237663917879263521,61,0.115000002086163,0,0,0.0160000007599592,0.869000017642975,0
1237663918410760283,53,0.131999999284744,0,0,0.0189999993890524,0.848999977111816,0
1237663918417051868,56,0.179000005125999,0,0,0.0179999992251396,0.804000020027161,0
1237657070088618228,17,0,0,0,0,1,0
1237657190914654815,26,0,0,0,0,1,0
1237657191980466447,28,0.0359999984502792,0,0,0.0710000023245811,0.85699999332428,0.0359999984502792
1237657220412014676,65,0.0309999994933605,0,0,0,0.968999981880188,0
1237657587096289353,56,0.0710000023245811,0,0,0.0359999984502792,0.820999979972839,0.0710000023245811
1237657590318759958,28,0.10700000077486,0,0,0.0710000023245811,0.820999979972839,0
1237657590322561125,46,0,0.0219999998807907,0,0.17399999499321,0.804000020027161,0
1237657633263910965,46,0,0,0,0.0219999998807907,0.977999985218048,0
1237658916918984717,54,0,0.0189999993890524,0.0189999993890524,0,0.870000004768372,0.0930000022053719
1237658917456969808,60,0.0500000007450581,0,0,0,0.949999988079071,0
1237663783680213740,21,0.14300000667572,0,0,0,0.85699999332428,0
1237664871354204583,31,0,0,0,0,1,0
1237666299485225106,53,0.0379999987781048,0,0.131999999284744,0.0189999993890524,0.810999989509583,0
1237666300553135022,30,0.133000001311302,0,0,0,0.866999983787537,0
1237666300553199646,39,0,0,0,0.103000000119209,0.897000014781952,0
1237666339727540588,27,0,0,0,0.0370000004768372,0.925999999046326,0.0370000004768372
1237678437016600991,27,0.0370000004768372,0.0370000004768372,0,0,0.925999999046326,0
1237678437556158931,43,0,0,0,0.0230000000447035,0.976999998092651,0
1237678595933143229,25,0.0399999991059303,0,0,0,0.959999978542328,0
1237678595934716059,62,0.0970000028610229,0,0,0,0.902999997138977,0
1237678617412436119,40,0.0750000029802322,0.025000000372529,0,0,0.899999976158142,0
1237678617415188677,34,0,0,0,0,1,0
1237678617416040594,28,0,0,0,0,0.96399998664856,0.0359999984502792
