#Table1
objid,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648673458553624,26,0.922999978065491,0,0.0379999987781048,0.0379999987781048,0,0
1237648673458684391,28,0.929000020027161,0,0,0.0359999984502792,0.0359999984502792,0
1237648673458815588,35,0.828999996185303,0,0,0.028999999165535,0.0570000000298023,0.0860000029206276
1237648673458881038,58,0.861999988555908,0,0.017000000923872,0.103000000119209,0.017000000923872,0
1237648673458946577,23,0.825999975204468,0.0430000014603138,0.0430000014603138,0.0869999974966049,0,0
1237648673459274300,67,0.939999997615814,0,0.0149999996647239,0,0.0299999993294477,0.0149999996647239
1237648673459274392,51,0.824000000953674,0,0,0.0590000003576279,0.118000000715256,0
1237648673459339331,33,0.970000028610229,0,0,0.0299999993294477,0,0
1237648673992540714,31,0.935000002384186,0,0,0.0649999976158142,0,0
1237648673993392521,64,0.906000018119812,0,0,0.0469999983906746,0,0.0469999983906746
1237648673993392589,52,0.865000009536743,0,0.0189999993890524,0.0579999983310699,0.0579999983310699,0
1237648673993589133,67,0.851000010967255,0.0149999996647239,0,0.0450000017881393,0.0900000035762787,0
1237648673994637877,51,0.804000020027161,0.0199999995529652,0,0.136999994516373,0.0390000008046627,0
1237648673994702955,39,0.871999979019165,0,0,0.103000000119209,0.0260000005364418,0
1237648673994703423,27,0.851999998092651,0.0740000009536743,0,0.0370000004768372,0.0370000004768372,0
1237648673994768659,67,0.925000011920929,0.0149999996647239,0,0.0299999993294477,0.0299999993294477,0
1237648673994768746,32,0.875,0.0309999994933605,0,0.0309999994933605,0.061999998986721,0
1237648673994834323,36,0.944000005722046,0.0280000008642673,0,0,0,0.0280000008642673
1237648673995162093,32,0.843999981880188,0,0.0309999994933605,0.125,0,0
1237648673995948107,30,0.933000028133392,0,0,0.0670000016689301,0,0
1237648673996341293,49,0.878000020980835,0.0199999995529652,0.0610000006854534,0.0199999995529652,0.0199999995529652,0
1237648673996931887,40,0.824999988079071,0,0.0750000029802322,0.0750000029802322,0.025000000372529,0
1237648673996997073,30,0.833000004291534,0,0,0.0670000016689301,0.0670000016689301,0.0329999998211861
1237648673997128266,30,0.933000028133392,0,0,0.0329999998211861,0.0329999998211861,0
1237648673997652749,28,0.929000020027161,0,0,0.0710000023245811,0,0
1237648674529411619,48,0.811999976634979,0,0,0.0419999994337559,0.145999997854233,0
1237648674530132240,57,0.894999980926514,0.0350000001490116,0,0.0350000001490116,0.0350000001490116,0
1237648674530263512,34,0.882000029087067,0.028999999165535,0,0.0590000003576279,0.028999999165535,0
1237648674531442986,26,0.846000015735626,0,0,0.0769999995827675,0.0769999995827675,0
1237648674531574300,36,0.944000005722046,0.0280000008642673,0,0.0280000008642673,0,0
1237648674531639329,56,0.91100001335144,0,0,0.0359999984502792,0.0540000014007092,0
1237648674531639378,52,0.903999984264374,0.0379999987781048,0,0.0379999987781048,0.0189999993890524,0
1237648674531639615,31,0.902999997138977,0.0320000015199184,0,0.0649999976158142,0,0
1237648674531705019,35,0.971000015735626,0,0,0,0.028999999165535,0
1237648674531836030,24,0.875,0,0,0,0,0.125
1237648674531967559,27,0.814999997615814,0.0370000004768372,0.0370000004768372,0.0740000009536743,0.0370000004768372,0
1237648674531967610,37,0.837999999523163,0,0,0,0.0810000002384186,0.0810000002384186
1237648674532098501,32,0.906000018119812,0,0,0.0309999994933605,0.061999998986721,0
1237648674532098608,34,1,0,0,0,0,0
1237648674532885305,25,0.800000011920929,0.0799999982118607,0,0.0399999991059303,0.0799999982118607,0
1237648674532950654,25,0.800000011920929,0,0.0399999991059303,0.0799999982118607,0.0799999982118607,0
1237648674533016287,64,0.906000018119812,0,0.0469999983906746,0.0309999994933605,0.0160000007599592,0
1237648674533081773,30,0.833000004291534,0.0329999998211861,0,0.0329999998211861,0.0670000016689301,0.0329999998211861
1237648674533146986,59,0.830999970436096,0.034000001847744,0.017000000923872,0.068000003695488,0.0509999990463257,0
1237648674533605820,32,0.843999981880188,0,0,0.061999998986721,0.0309999994933605,0.061999998986721
1237648674533737231,23,0.870000004768372,0.0430000014603138,0,0,0.0430000014603138,0.0430000014603138
1237648674534523043,26,0.846000015735626,0.0379999987781048,0,0,0.115000002086163,0
1237648702966464724,28,0.89300000667572,0,0.0359999984502792,0,0.0710000023245811,0
1237648702966595730,32,0.843999981880188,0.0309999994933605,0,0.061999998986721,0.061999998986721,0
1237648702967513230,29,0.828000009059906,0.034000001847744,0,0,0.137999996542931,0
1237648702967579126,63,0.873000025749207,0,0,0.0160000007599592,0.0949999988079071,0.0160000007599592
1237648702968365275,53,0.829999983310699,0,0,0.0379999987781048,0.131999999284744,0
1237648702968889567,60,0.833000004291534,0.017000000923872,0,0.0329999998211861,0.100000001490116,0.017000000923872
1237648702969413789,30,0.933000028133392,0,0,0,0.0670000016689301,0
1237648702970593667,30,0.800000011920929,0,0.0329999998211861,0.0329999998211861,0.133000001311302,0
1237648702971052358,54,0.814999997615814,0.0189999993890524,0,0.0560000017285347,0.111000001430511,0
1237648702971773476,34,0.852999985218048,0,0,0.028999999165535,0.118000000715256,0
1237648702973280497,29,0.930999994277954,0,0.034000001847744,0,0.034000001847744,0
1237648702973673697,35,0.943000018596649,0,0.028999999165535,0.028999999165535,0,0
1237648702973935730,24,0.916999995708466,0,0,0.0419999994337559,0.0419999994337559,0
1237648702974918878,31,0.870999991893768,0,0,0.0320000015199184,0.0970000028610229,0
1237648702975180845,26,0.808000028133392,0,0.0379999987781048,0.0379999987781048,0.115000002086163,0
1237648702975639836,32,0.875,0,0.0939999967813492,0,0.0309999994933605,0
1237648702978064692,46,0.804000020027161,0,0.0219999998807907,0.0430000014603138,0.129999995231628,0
1237648703503401411,27,0.888999998569489,0,0,0,0.111000001430511,0
1237648703504580879,56,0.820999979972839,0,0,0,0.179000005125999,0
1237648703504581205,32,0.843999981880188,0.0309999994933605,0,0.061999998986721,0.061999998986721,0
1237648703505170596,55,0.890999972820282,0,0,0.0729999989271164,0.0179999992251396,0.0179999992251396
1237648703505629420,50,0.839999973773956,0.0199999995529652,0,0.0399999991059303,0.0599999986588955,0.0399999991059303
1237648703507988759,49,0.85699999332428,0,0.0410000011324883,0,0.101999998092651,0
1237648703507988784,30,0.800000011920929,0,0,0.0329999998211861,0.166999995708466,0
1237648703508119708,28,0.820999979972839,0,0.0710000023245811,0.0359999984502792,0.0710000023245811,0
1237648703509037207,29,0.828000009059906,0.034000001847744,0.034000001847744,0.034000001847744,0.0689999982714653,0
1237648703509102894,31,0.805999994277954,0.0320000015199184,0,0,0.160999998450279,0
1237648703510478995,28,0.89300000667572,0,0.0359999984502792,0,0.0359999984502792,0.0359999984502792
1237648703511134446,36,0.888999998569489,0,0.0280000008642673,0.0829999968409538,0,0
1237648703511265510,58,0.810000002384186,0.017000000923872,0,0.155000001192093,0.017000000923872,0
1237648703512314160,56,0.83899998664856,0.0179999992251396,0,0.0359999984502792,0.10700000077486,0
1237648703513559316,35,0.800000011920929,0.028999999165535,0,0,0.171000003814697,0
1237648703516639598,52,0.808000028133392,0,0,0.0579999983310699,0.115000002086163,0.0189999993890524
1237648703517425819,39,0.846000015735626,0,0.0260000005364418,0.0769999995827675,0.0509999990463257,0
1237648702968955042,23,0.825999975204468,0.0430000014603138,0,0,0.129999995231628,0
1237648702972756187,28,0.820999979972839,0,0,0.14300000667572,0.0359999984502792,0
1237648702973477024,65,0.814999997615814,0,0,0.061999998986721,0.108000002801418,0.0149999996647239
1237650371562111165,26,0.962000012397766,0,0,0.0379999987781048,0,0
1237650371562111203,34,0.824000000953674,0.028999999165535,0,0.028999999165535,0.118000000715256,0
1237650371562111204,54,0.888999998569489,0,0,0.111000001430511,0,0
1237650371562176643,34,0.882000029087067,0,0.0590000003576279,0.0590000003576279,0,0
1237650371563290737,37,0.892000019550323,0,0,0,0.108000002801418,0
1237650371563290738,46,0.935000002384186,0,0,0.0219999998807907,0.0430000014603138,0
1237650372089741520,65,0.814999997615814,0,0.0149999996647239,0.0309999994933605,0.137999996542931,0
1237650372089741526,27,0.814999997615814,0,0.0370000004768372,0.0740000009536743,0.0740000009536743,0
